UID	Product_ID	Review_ID	Review_Text	Processed_Text	TextBlob	Vader	API	Matched_token	Theme
1	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	NEUTRAL	NEUTRAL	NEGATIVE	No match	No match
2	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
3	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
4	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
5	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	NEGATIVE	NEGATIVE	NEGATIVE	heat	operational_effectiveness
6	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
7	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	NEGATIVE	NEGATIVE	NEUTRAL	money	price
8	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	NEGATIVE	NEGATIVE	NEUTRAL	diameter	size
9	40114261	5	not so good there was dent on the product when i got this.	not good dent product get	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
10	40114261	6	defect in steel lid Dent in steel lid	defect steel lid dent steel lid	NEUTRAL	NEGATIVE	NEUTRAL	No match	No match
11	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	POSITIVE	POSITIVE	POSITIVE	bigger	operational_effectiveness
12	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	POSITIVE	POSITIVE	POSITIVE	consume	operational_effectiveness
13	40114261	8	 User friendly	user friendly	POSITIVE	POSITIVE	POSITIVE	No match	No match
14	40114261	9	 Good Product	good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
15	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	batch	shipping_delivery
16	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	delivery	shipping_delivery
17	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	bad	quality
18	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	make	quality
19	40114261	11	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
20	40114261	12	 i want one more product	want one more product	POSITIVE	POSITIVE	NEGATIVE	want	quality
21	40114261	13	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	POSITIVE	POSITIVE	POSITIVE	deliver	shipping_delivery
22	40114261	14	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
23	40114261	15	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	POSITIVE	POSITIVE	POSITIVE	No match	No match
