UID	Product_ID	Review_ID	Review_Text	Processed_Text	Rating	TextBlob	Vader	API	Matched_token	Theme
1	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	3	NEUTRAL	NEUTRAL	NEGATIVE	No match	No match
2	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	1	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
3	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	1	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
4	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	1	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
5	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	2	NEGATIVE	NEGATIVE	NEGATIVE	heat	operational_effectiveness
6	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	2	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
7	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	3	NEGATIVE	NEGATIVE	NEUTRAL	money	price
8	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	3	NEGATIVE	NEGATIVE	NEUTRAL	diameter	size
9	40114261	5	not so good there was dent on the product when i got this.	not good dent product get	1	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
10	40114261	6	defect in steel lid Dent in steel lid	defect steel lid dent steel lid	1	NEUTRAL	NEGATIVE	NEUTRAL	No match	No match
11	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	5	POSITIVE	POSITIVE	POSITIVE	bigger	operational_effectiveness
12	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	5	POSITIVE	POSITIVE	POSITIVE	consume	operational_effectiveness
