UID	Product_ID	Review_ID	Review_Text	Processed_Text	Tokens	Rating	TextBlob	Vader	API	Matched_token	Theme	Subtheme
1	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	['size', 'smaller', 'than', 'pic', 'get', 'plastic', 'stick', 'instead', 'wooden', 'stick', 'average']	3	NEUTRAL	NEUTRAL	NEGATIVE	size	size	n/a
2	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	['size', 'smaller', 'than', 'pic', 'get', 'plastic', 'stick', 'instead', 'wooden', 'stick', 'average']	3	NEUTRAL	NEUTRAL	NEGATIVE	smaller	size	n/a
3	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	['size', 'smaller', 'than', 'pic', 'get', 'plastic', 'stick', 'instead', 'wooden', 'stick', 'average']	3	NEUTRAL	NEUTRAL	NEGATIVE	average	quality	n/a
4	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	['size', 'smaller', 'than', 'pic', 'get', 'plastic', 'stick', 'instead', 'wooden', 'stick', 'average']	3	NEUTRAL	NEUTRAL	NEGATIVE	plastic	quality	n/a
5	40114261	1	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	['size', 'smaller', 'than', 'pic', 'get', 'plastic', 'stick', 'instead', 'wooden', 'stick', 'average']	3	NEUTRAL	NEUTRAL	NEGATIVE	stick	quality	n/a
6	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	['bad', 'quality', 'do', 'not', 'buy', 'handle', 'very', 'weak', 'come', 'immediately', 'hold']	1	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality	n/a
7	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	['bad', 'quality', 'do', 'not', 'buy', 'handle', 'very', 'weak', 'come', 'immediately', 'hold']	1	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality	n/a
8	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	['bad', 'quality', 'do', 'not', 'buy', 'handle', 'very', 'weak', 'come', 'immediately', 'hold']	1	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness	n/a
9	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	['bad', 'quality', 'do', 'not', 'buy', 'handle', 'very', 'weak', 'come', 'immediately', 'hold']	1	NEGATIVE	NEGATIVE	NEGATIVE	handle	operational_effectiveness	n/a
10	40114261	2	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	['bad', 'quality', 'do', 'not', 'buy', 'handle', 'very', 'weak', 'come', 'immediately', 'hold']	1	NEGATIVE	NEGATIVE	NEGATIVE	bad quality	quality	poor quality
11	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	fake	quality	n/a
12	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	good	quality	n/a
13	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	light	quality	n/a
